,mean_hr,max_hr,min_hr,std_hr,max_over_min,%crashes,last_obstacle_crash,lin_regression_hr_slope
135,142.625,150.0,136.0,3.906486694956523,1.0588235294117647,25.0,0,-0.7608975046075128
136,142.3125,147.0,136.0,3.597612979315058,1.0588235294117647,18.75,0,-0.3940204132466547
137,142.20833333333334,147.0,136.0,3.5065794288423215,1.0735294117647058,25.0,1,0.4019916332911811
138,141.83333333333334,146.0,136.0,3.360175611756619,1.0735294117647058,25.0,0,0.5620006835497123
139,143.0731707317073,156.0,135.0,5.283891766030219,1.1304347826086956,20.0,0,1.9953817940913785
140,143.53658536585365,156.0,135.0,5.771037865824525,1.0909090909090908,10.0,0,0.9244143134306348
141,144.04761904761904,156.0,135.0,6.024148076405294,1.0684931506849316,20.0,1,0.274126957340507
142,143.86046511627907,156.0,131.0,6.642508832364461,1.1908396946564885,20.0,0,-1.524239846066617
143,143.30232558139534,156.0,131.0,7.02558211016788,1.1908396946564885,20.0,0,-2.8348554915906075
144,143.25581395348837,156.0,131.0,7.064643769052348,1.183206106870229,20.0,0,-2.633584524317806
145,143.4418604651163,156.0,131.0,6.946401348493488,1.1755725190839694,20.0,0,-1.9528269879052074
146,143.4318181818182,156.0,131.0,6.882393199477916,1.1526717557251909,27.27272727272727,1,-1.300422542392323
147,143.4318181818182,156.0,131.0,6.912737576632189,1.1526717557251909,27.27272727272727,0,-0.1884729025770006
148,143.0,156.0,131.0,7.128079952520441,1.0746268656716418,27.27272727272727,1,0.5415604329215966
149,142.1590909090909,156.0,130.0,7.715713901823936,1.1076923076923078,36.36363636363637,1,-0.702749579579255
150,141.88636363636363,156.0,130.0,7.994812007013308,1.1076923076923078,36.36363636363637,0,-1.257739796214737
151,141.8,156.0,130.0,7.92464510246358,1.1076923076923078,41.66666666666667,1,-0.9568326135314887
152,141.95744680851064,156.0,130.0,7.706455359571331,1.1076923076923078,46.15384615384615,1,0.1423781052228451
153,142.0212765957447,156.0,130.0,7.710775525486417,1.1076923076923078,42.857142857142854,0,1.3711175600489331
154,142.0,156.0,130.0,7.530493565054905,1.1076923076923078,46.666666666666664,1,1.7665917011053205
155,141.72,156.0,130.0,7.290026734924801,1.1076923076923078,43.75,0,1.2310953217194336
156,141.12,155.0,130.0,6.805280062913933,1.0666666666666667,41.17647058823529,0,0.48324460770691896
157,140.44230769230768,154.0,130.0,6.575096991869297,1.0746268656716418,44.44444444444444,1,-0.7841461668490614
158,139.5,151.0,130.0,5.8326330111826215,1.0746268656716418,50.0,1,-1.0073300778728156
159,139.05769230769232,151.0,130.0,5.351977686647342,1.0671641791044777,44.44444444444444,0,-0.753374139744716
160,138.2549019607843,144.0,130.0,4.18494032098381,1.0671641791044777,44.44444444444444,0,-0.013574199917293342
161,138.84,144.0,130.0,3.996733360010448,1.0597014925373134,44.44444444444444,0,0.6811828285291237
162,139.04,144.0,130.0,4.004894964099481,1.0597014925373134,44.44444444444444,0,0.8870928469921052
163,139.14,144.0,130.0,4.060813229099887,1.0671641791044777,50.0,1,0.5917432945173366
164,139.3,144.0,130.0,4.092053024972143,1.0287769784172662,44.44444444444444,0,0.29243207596483556
165,139.12,144.0,130.0,3.941614711081265,1.0214285714285714,50.0,1,0.036009270083325357
166,139.42,144.0,130.0,3.9594371894428195,1.0285714285714285,50.0,1,0.08735887786239588
167,139.94,144.0,130.0,3.655635850216451,1.0285714285714285,44.44444444444444,0,0.266810298177535
168,140.68,144.0,134.0,2.916805633229752,1.0212765957446808,44.44444444444444,0,0.19992435881769857
169,141.0408163265306,144.0,134.0,2.6845172104237336,1.0212765957446808,44.44444444444444,1,0.21897318567302354
170,141.16,144.0,134.0,2.6291924732176777,1.0212765957446808,38.88888888888889,0,0.13028361067158184
171,141.14285714285714,145.0,134.0,2.677063067368168,1.0283687943262412,38.88888888888889,0,0.08115699286611848
